Position,Const,Title,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
23,tt0409847,Cowboys & Aliens,6,119,2011,"Action, Sci-Fi, Thriller, Western",219426,2011/7/29,Jon Favreau
24,tt0411477,Hellboy II: The Golden Army,7,120,2008,"Action, Adventure, Fantasy, Horror, Sci-Fi",269101,2008/6/28,Guillermo del Toro
25,tt1571234,Mortal Engines,6.1,128,2018,"Action, Adventure, Fantasy, Sci-Fi, Thriller",123775,2018/12/5,Christian Rivers
26,tt0120815,Saving Private Ryan,8.6,169,1998,"Drama, War",1354742,1998/7/21,Steven Spielberg
27,tt4819498,Jiu ceng yao ta,5.1,118,2015,"Action, Adventure, Drama, Fantasy",1755,2015/9/30,Chuan Lu
28,tt6087226,Koma,6.3,111,2019,"Action, Adventure, Fantasy, Mystery, Sci-Fi",10026,2019/11/19,Nikita Argunov
29,tt2692250,Night at the Museum: Secret of the Tomb,6.2,98,2014,"Adventure, Comedy, Family, Fantasy",120269,2014/12/17,Shawn Levy
30,tt4547194,I Kill Giants,6.1,106,2017,"Drama, Fantasy, Thriller",32268,2017/9/9,Anders Walter
31,tt2315596,Galveston,6.2,91,2018,"Action, Crime, Drama, Thriller",14358,2018/3/10,Mélanie Laurent
32,tt3585004,Zhong Kui fu mo: Xue yao mo ling,5.3,118,2015,"Action, Fantasy, Romance",1340,2015/2/19,"Tianyu Zhao, Peter Pau"
33,tt4276752,Xun long jue,5.9,127,2015,"Action, Adventure, Drama, Fantasy, Horror, Mystery, Thriller",3916,2015/12/17,Wuershan
34,tt3986820,The Endless,6.5,111,2017,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",41558,2017/4/21,"Aaron Moorhead, Justin Benson"
35,tt1034314,Iron Sky,5.9,93,2012,"Action, Adventure, Comedy, Sci-Fi",93974,2012/2/11,Timo Vuorensola
36,tt4196776,Jason Bourne,6.6,123,2016,"Action, Thriller",224744,2016/7/3,Paul Greengrass
37,tt6882604,Archive,6.3,109,2020,"Drama, Mystery, Sci-Fi, Thriller",20629,2020/7/10,Gavin Rothery
38,tt4530422,Overlord,6.6,110,2018,"Action, Horror, Sci-Fi, War",97554,2018/9/22,Julius Avery
39,tt0448134,Sunshine,7.2,107,2007,"Sci-Fi, Thriller",248162,2007/3/23,Danny Boyle
